iter	Passed	Remaining
526	1452	1303
527	1455	1301
528	1458	1298
529	1459	1294
530	1461	1290
531	1463	1287
532	1467	1286
533	1470	1283
534	1472	1280
535	1474	1276
536	1476	1273
537	1478	1269
538	1482	1267
539	1484	1264
540	1486	1260
541	1487	1257
542	1489	1253
543	1491	1250
544	1493	1247
545	1497	1244
546	1499	1241
547	1501	1238
548	1502	1234
549	1504	1231
550	1506	1227
551	1508	1224
552	1510	1220
553	1513	1218
554	1516	1215
555	1518	1212
556	1520	1209
557	1522	1206
558	1524	1202
559	1527	1200
560	1529	1197
561	1531	1193
562	1533	1190
563	1535	1186
564	1537	1183
565	1538	1180
566	1540	1176
567	1544	1174
568	1546	1171
569	1548	1168
570	1551	1165
571	1553	1162
572	1555	1158
573	1559	1157
574	1561	1154
575	1563	1150
576	1565	1147
577	1567	1144
578	1568	1140
579	1570	1137
580	1573	1135
581	1575	1131
582	1577	1128
583	1579	1125
584	1581	1121
585	1582	1118
586	1584	1114
587	1586	1111
588	1590	1109
589	1592	1106
590	1594	1103
591	1596	1100
592	1598	1096
593	1599	1093
594	1601	1090
595	1606	1088
596	1608	1085
597	1610	1082
598	1613	1079
599	1614	1076
600	1616	1073
601	1619	1070
602	1621	1067
603	1623	1064
604	1625	1061
605	1627	1058
606	1629	1054
607	1631	1051
608	1633	1048
609	1636	1046
610	1638	1043
611	1640	1040
612	1642	1037
613	1644	1033
614	1646	1030
615	1647	1027
616	1651	1025
617	1653	1022
618	1655	1019
619	1657	1015
620	1659	1012
621	1661	1009
622	1663	1006
623	1667	1004
624	1669	1001
625	1671	998
626	1673	995
627	1674	992
628	1676	988
629	1678	985
630	1682	984
631	1684	980
632	1686	977
633	1688	974
634	1690	971
635	1691	968
636	1693	965
637	1697	963
638	1700	960
639	1702	957
640	1704	954
641	1706	951
642	1708	948
643	1709	945
644	1713	943
645	1716	940
646	1717	937
647	1719	934
648	1721	930
649	1723	927
650	1726	925
651	1728	922
652	1730	919
653	1734	917
654	1736	914
655	1738	911
656	1744	910
657	1746	907
658	1748	905
659	1753	903
660	1758	901
661	1762	899
662	1764	896
663	1766	893
664	1769	891
665	1775	890
666	1778	887
667	1781	885
668	1783	882
669	1785	879
670	1792	879
671	1795	876
672	1797	873
673	1800	871
674	1805	869
675	1809	867
676	1812	864
677	1814	861
678	1820	860
679	1823	857
680	1825	855
681	1828	852
682	1831	850
683	1836	848
684	1839	845
685	1841	842
686	1843	839
687	1846	837
688	1848	834
689	1852	832
690	1856	830
691	1858	827
692	1860	824
693	1862	821
694	1864	818
695	1867	815
696	1870	813
697	1872	810
698	1874	807
699	1877	804
700	1879	801
701	1884	799
702	1886	796
703	1888	794
704	1891	791
705	1893	788
706	1898	786
707	1901	784
708	1903	781
709	1905	778
710	1907	775
711	1909	772
712	1913	770
713	1915	767
714	1918	764
715	1920	761
716	1921	758
717	1923	755
718	1927	753
719	1929	750
720	1931	747
721	1933	744
722	1935	741
723	1937	738
724	1939	735
725	1942	733
726	1944	730
727	1946	727
728	1948	724
729	1950	721
730	1951	718
731	1953	715
732	1955	712
733	1959	710
734	1961	707
735	1963	704
736	1965	701
737	1966	698
738	1968	695
739	1970	692
740	1974	690
741	1977	687
742	1979	684
743	1981	681
744	1984	679
745	1985	676
746	1990	674
747	1993	671
748	1995	668
749	1997	665
750	1999	663
751	2001	660
752	2006	658
753	2008	655
754	2010	652
755	2012	649
756	2014	646
757	2016	643
758	2021	641
759	2023	638
760	2025	636
761	2026	633
762	2028	630
763	2030	627
764	2032	624
765	2036	622
766	2038	619
767	2040	616
768	2041	613
769	2043	610
770	2045	607
771	2047	604
772	2051	602
773	2053	599
774	2054	596
775	2056	593
776	2058	590
777	2060	587
778	2062	585
779	2065	582
780	2068	579
781	2070	577
782	2071	574
783	2073	571
784	2075	568
785	2077	565
786	2079	562
787	2082	560
788	2084	557
789	2086	554
790	2088	551
791	2089	548
792	2091	545
793	2093	543
794	2097	540
795	2099	537
796	2101	535
797	2104	532
798	2106	530
799	2109	527
800	2113	524
801	2115	522
802	2117	519
803	2119	516
804	2121	513
805	2123	511
806	2125	508
807	2128	505
808	2130	502
809	2132	500
810	2134	497
811	2135	494
812	2137	491
813	2139	488
814	2143	486
815	2145	483
816	2147	481
817	2149	478
818	2151	475
819	2153	472
820	2154	469
821	2158	467
822	2160	464
823	2162	461
824	2164	459
825	2166	456
826	2167	453
827	2169	450
828	2171	447
829	2174	445
830	2176	442
831	2177	439
832	2179	436
833	2181	434
834	2182	431
835	2184	428
836	2187	425
837	2189	423
838	2192	420
839	2194	417
840	2196	415
841	2198	412
842	2199	409
843	2203	407
844	2205	404
845	2207	401
846	2209	399
847	2211	396
848	2212	393
849	2214	390
850	2216	388
851	2219	385
852	2221	382
853	2222	380
854	2224	377
855	2226	374
856	2227	371
857	2229	369
858	2233	366
859	2235	363
860	2237	361
861	2239	358
862	2240	355
863	2242	353
864	2244	350
865	2247	347
866	2249	345
867	2251	342
868	2253	339
869	2255	336
870	2256	334
871	2258	331
872	2260	328
873	2264	326
874	2266	323
875	2267	321
876	2269	318
877	2271	315
878	2273	312
879	2274	310
880	2276	307
881	2279	305
882	2281	302
883	2284	299
884	2286	297
885	2288	294
886	2289	291
887	2292	289
888	2294	286
889	2297	283
890	2298	281
891	2300	278
892	2302	275
893	2304	273
894	2305	270
895	2309	268
896	2311	265
897	2313	262
898	2314	260
899	2316	257
900	2318	254
901	2320	252
902	2323	249
903	2325	247
904	2327	244
905	2329	241
906	2331	239
907	2333	236
908	2334	233
909	2336	231
910	2340	228
911	2342	226
912	2344	223
913	2345	220
914	2347	218
915	2349	215
916	2351	212
917	2354	210
918	2356	207
919	2358	205
920	2360	202
921	2362	199
922	2363	197
923	2365	194
924	2367	191
925	2371	189
926	2373	186
927	2375	184
928	2376	181
929	2378	179
930	2380	176
931	2382	173
932	2386	171
933	2388	168
934	2391	166
935	2394	163
936	2396	161
937	2398	158
938	2401	156
939	2404	153
940	2406	150
941	2408	148
942	2411	145
943	2415	143
944	2417	140
945	2419	138
946	2421	135
947	2423	132
948	2425	130
949	2426	127
950	2430	125
951	2432	122
952	2435	120
953	2437	117
954	2438	114
955	2440	112
956	2442	109
957	2446	107
958	2448	104
959	2450	102
960	2452	99
961	2454	96
962	2455	94
963	2457	91
964	2461	89
965	2463	86
966	2465	84
967	2467	81
968	2469	78
969	2470	76
970	2472	73
971	2474	71
972	2477	68
973	2479	66
974	2481	63
975	2483	61
976	2485	58
977	2487	55
978	2489	53
979	2491	50
980	2493	48
981	2495	45
982	2497	43
983	2498	40
984	2500	38
985	2502	35
986	2506	33
987	2508	30
988	2510	27
989	2511	25
990	2513	22
991	2515	20
992	2517	17
993	2520	15
994	2522	12
995	2524	10
996	2526	7
997	2528	5
998	2529	2
999	2531	0
