iter	RMSE
233	2.737016444
234	2.735614645
235	2.728305584
236	2.718049978
237	2.710252854
238	2.706274063
239	2.703634467
240	2.701520404
241	2.697385304
242	2.696181849
243	2.68692725
244	2.682217816
245	2.674375942
246	2.669516315
247	2.661958879
248	2.657277546
249	2.655838641
250	2.647942062
251	2.640106894
252	2.637568584
253	2.630423569
254	2.622734299
255	2.621089434
256	2.619182714
257	2.614991909
258	2.606259294
259	2.598884951
260	2.595598011
261	2.591898953
262	2.590001571
263	2.585375558
264	2.576706045
265	2.570335177
266	2.567242733
267	2.562791571
268	2.559416091
269	2.555293709
270	2.54637434
271	2.539124588
272	2.531074869
273	2.524194356
274	2.522825779
275	2.518927026
276	2.512306601
277	2.509624577
278	2.500408246
279	2.492831936
280	2.486588752
281	2.484531005
282	2.477911778
283	2.47168218
284	2.465134181
285	2.46100973
286	2.460050887
287	2.452511821
288	2.449040376
289	2.444508205
290	2.437489179
291	2.431894622
292	2.42992007
293	2.42239351
294	2.417820466
295	2.414566931
296	2.41327695
297	2.407431642
298	2.40069961
299	2.397024032
300	2.392462362
301	2.385766887
302	2.382432734
303	2.375898409
304	2.368231894
305	2.361091818
306	2.357237838
307	2.353333745
308	2.350627988
309	2.344603036
310	2.33852759
311	2.332068594
312	2.325268501
313	2.322164855
314	2.315753911
315	2.310621299
316	2.309362531
317	2.304195346
318	2.297041762
319	2.294303339
320	2.28731359
321	2.28218946
322	2.277457593
323	2.275657513
324	2.271293323
325	2.268700255
326	2.265965748
327	2.26448109
328	2.260441388
329	2.255129488
330	2.248602401
331	2.243219259
332	2.237764821
333	2.23126436
334	2.230033295
335	2.228747166
336	2.225546756
337	2.218864489
338	2.217582383
339	2.212821972
340	2.208975397
341	2.205294337
342	2.201972555
343	2.198037992
344	2.196328444
345	2.190778852
346	2.18450358
347	2.181998567
348	2.178165004
349	2.172356687
350	2.170684859
351	2.165345598
352	2.158302271
353	2.153960593
354	2.151513891
355	2.148157492
356	2.140839921
357	2.136684745
358	2.135038153
359	2.129105538
360	2.126051827
361	2.123794154
362	2.119582403
363	2.117458688
364	2.112739007
365	2.111206003
366	2.10734892
367	2.105254608
368	2.098978241
369	2.096086685
370	2.094171319
371	2.090767421
372	2.083936245
373	2.082863335
374	2.076953388
375	2.072888038
376	2.069348059
377	2.064152829
378	2.058976523
379	2.057923656
380	2.052433297
381	2.051320282
382	2.045956499
383	2.045096426
384	2.044254795
385	2.039852092
386	2.036098249
387	2.035269678
388	2.031726322
389	2.026564275
390	2.021221585
391	2.019327932
392	2.013274107
393	2.00805753
394	2.004695514
395	1.99849185
396	1.994398593
397	1.992338201
398	1.990727192
399	1.988128822
400	1.986314798
401	1.981609974
402	1.975868923
403	1.973349468
404	1.972009116
405	1.968257605
406	1.965592505
407	1.963655635
408	1.961348002
409	1.959102412
410	1.958047356
411	1.952590223
412	1.951430892
413	1.946024388
414	1.943583884
415	1.94021957
416	1.938768645
417	1.937075552
418	1.935155524
419	1.930796232
420	1.928205918
421	1.927468943
422	1.924987591
423	1.919957696
424	1.914710122
425	1.913700061
426	1.91121401
427	1.910313979
428	1.905157308
429	1.9034576
430	1.899733462
431	1.897671546
432	1.896812562
433	1.891710121
434	1.890402082
435	1.885820214
436	1.881427247
437	1.87707291
438	1.87343375
439	1.871853453
440	1.867674071
441	1.863252061
442	1.86237668
443	1.857722672
444	1.856973408
445	1.854830345
446	1.854096135
447	1.851833188
448	1.850591883
449	1.846084952
450	1.842248845
451	1.83736251
452	1.836197362
453	1.833200429
454	1.831543827
455	1.827601756
456	1.824538933
457	1.821771028
458	1.820959714
459	1.820254243
460	1.816120505
461	1.813273525
462	1.812024601
463	1.810406033
464	1.808139837
465	1.805774057
466	1.803642077
467	1.799927147
468	1.798100589
469	1.79509261
470	1.791736105
471	1.789966089
472	1.788119188
473	1.786041309
474	1.784636977
475	1.783658915
476	1.780905265
477	1.777809716
478	1.776766548
479	1.774415824
480	1.770504962
481	1.768384375
482	1.766919847
483	1.76353603
484	1.760414801
485	1.75527867
486	1.751605827
487	1.747667187
488	1.746470372
489	1.745555193
490	1.744597356
491	1.74042524
492	1.73948442
493	1.738627471
494	1.736246386
495	1.732870599
496	1.731487683
497	1.726152304
498	1.724142677
499	1.720804557
500	1.716115306
501	1.715670667
502	1.714494473
503	1.711723156
504	1.70841429
505	1.705433122
506	1.702270975
507	1.697654649
508	1.694933414
509	1.69413172
510	1.693284999
511	1.689905687
512	1.689293409
513	1.685680721
514	1.682328705
515	1.68169119
516	1.677073227
517	1.674621007
518	1.673173669
519	1.671339273
520	1.670720661
521	1.666954933
522	1.664058638
523	1.66107063
524	1.659179491
525	1.655350542
526	1.652934294
527	1.650005901
528	1.645381499
529	1.641777681
530	1.638640557
531	1.634822359
532	1.631268317
533	1.628061251
534	1.624392119
535	1.620823998
536	1.620233916
537	1.616535478
538	1.613278801
539	1.611862767
540	1.610104777
541	1.607224566
542	1.604332378
543	1.602170276
544	1.598611184
545	1.598052561
546	1.5946539
547	1.593050685
548	1.589783228
549	1.588426182
550	1.585798586
551	1.583235107
552	1.580993081
553	1.579508121
554	1.577819676
555	1.573720378
556	1.571590111
557	1.570318814
558	1.566381796
559	1.562524199
560	1.560759518
561	1.557924691
562	1.557095075
563	1.556351589
564	1.553281709
565	1.550669828
566	1.549013651
567	1.54763115
568	1.546076957
569	1.544618222
570	1.542396733
571	1.539013678
572	1.536433861
573	1.535600625
574	1.53201218
575	1.529561446
576	1.526737976
577	1.525510285
578	1.522895666
579	1.520317198
580	1.519410482
581	1.517528039
582	1.516129996
583	1.513402529
584	1.510789745
585	1.509410736
586	1.505568839
587	1.505076773
588	1.501481819
589	1.499136667
590	1.497674528
591	1.495835508
592	1.493486982
593	1.492505361
594	1.491224576
595	1.489727869
596	1.486799337
597	1.485100322
598	1.482210352
599	1.480696768
600	1.477605443
601	1.475185308
602	1.474614822
603	1.473224654
604	1.4703213
605	1.466759662
606	1.463905673
607	1.462261395
608	1.459035092
609	1.457774604
610	1.455548395
611	1.452671354
612	1.449619926
613	1.446425641
614	1.444892201
615	1.441768582
616	1.439661339
617	1.437877869
618	1.435058607
619	1.432515106
620	1.429710106
621	1.428087065
622	1.42583451
623	1.42240444
624	1.418964572
625	1.416170225
626	1.414848822
627	1.414073616
628	1.411546494
629	1.410216633
630	1.409571802
631	1.407333041
632	1.406205076
633	1.40301565
634	1.400468081
635	1.397309509
636	1.394798396
637	1.394271778
638	1.391760605
639	1.388690457
640	1.387969655
641	1.387403294
642	1.384307522
643	1.383076515
644	1.381987493
645	1.380984747
646	1.37932291
647	1.376457946
648	1.374069904
649	1.373358456
650	1.372577071
651	1.369627484
652	1.367891639
653	1.365929461
654	1.364920453
655	1.36277742
656	1.360652492
657	1.359172357
658	1.357550502
659	1.355130603
660	1.353829645
661	1.350740738
662	1.349871062
663	1.348531679
664	1.345690628
665	1.344780364
666	1.342858532
667	1.341581628
668	1.340163996
669	1.338995169
670	1.337341684
671	1.33651187
672	1.33466253
673	1.331962085
674	1.329726333
675	1.327355766
676	1.325523977
677	1.324940403
678	1.322053509
679	1.321229237
680	1.319728903
681	1.317857267
682	1.316706006
683	1.314640042
684	1.312179468
685	1.309586207
686	1.30623017
687	1.303497018
688	1.300500125
689	1.298733093
690	1.295898089
691	1.293483055
692	1.290991529
693	1.288651363
694	1.28601546
695	1.284465345
696	1.283574158
697	1.281490757
698	1.28030592
699	1.277871445
700	1.27515826
701	1.274601883
702	1.272774511
703	1.270893537
704	1.267773949
705	1.267218838
706	1.266761365
707	1.264684776
708	1.264217961
709	1.262646067
710	1.260237502
711	1.258471461
712	1.255811667
713	1.253371186
714	1.25228348
715	1.250616426
716	1.24962016
717	1.246968134
718	1.244713626
719	1.24325497
720	1.240764471
721	1.239133085
722	1.238497691
723	1.235959252
724	1.23397916
725	1.231767293
726	1.229103102
727	1.22646364
728	1.224401431
729	1.222699785
730	1.222229974
731	1.22032164
732	1.219155566
733	1.218064021
734	1.215414059
735	1.214701567
736	1.213950331
737	1.212039933
738	1.209450775
739	1.208511321
740	1.206734347
741	1.2045217
742	1.201687352
743	1.200017149
744	1.198827893
745	1.197784383
746	1.196112878
747	1.19420325
748	1.192327428
749	1.191193415
750	1.19031955
751	1.187967129
752	1.187311652
753	1.18463356
754	1.182602677
755	1.179855486
756	1.178050837
757	1.176417595
758	1.174349404
759	1.172356483
760	1.170830202
761	1.168897092
762	1.166706361
763	1.165264267
764	1.162696832
765	1.161854287
766	1.15982181
767	1.158197668
768	1.156934676
769	1.155996963
770	1.153990982
771	1.152918941
772	1.151955511
773	1.149517824
774	1.147213399
775	1.145057578
776	1.143174698
777	1.14164953
778	1.140556741
779	1.139682556
780	1.138683575
781	1.13797324
782	1.135330627
783	1.133070101
784	1.131420722
785	1.129921177
786	1.129173074
787	1.127336119
788	1.125102082
789	1.123257972
790	1.12283807
791	1.120647544
792	1.118771012
793	1.118320701
794	1.116169289
795	1.115833325
796	1.114977607
797	1.113257002
798	1.111211301
799	1.109447957
800	1.107465941
801	1.106283486
802	1.105336505
803	1.10434122
804	1.103108012
805	1.101710076
806	1.099816777
807	1.097826631
808	1.097112767
809	1.094826999
810	1.094339571
811	1.093093196
812	1.092136096
813	1.091196969
814	1.089361628
815	1.087385919
816	1.086395584
817	1.084501237
818	1.083659728
819	1.081454615
820	1.07939308
821	1.077979656
822	1.076063904
823	1.074513478
824	1.073879218
825	1.073485806
826	1.071538063
827	1.070726019
828	1.069514886
829	1.069161703
830	1.068824702
831	1.068128406
832	1.067118647
833	1.065591056
834	1.06372396
835	1.061986922
836	1.061287683
837	1.05942623
838	1.05865166
839	1.056950954
840	1.055256396
841	1.054579326
842	1.05292472
843	1.052568164
844	1.051175094
845	1.050457768
846	1.048336866
847	1.046518114
848	1.045261068
849	1.043116353
850	1.041439595
851	1.041090257
852	1.039062197
853	1.038706414
854	1.036511697
855	1.034372625
856	1.034027988
857	1.033585398
858	1.032345539
859	1.030556594
860	1.029731202
861	1.028287711
862	1.027400483
863	1.025756795
864	1.024141847
865	1.02209794
866	1.021755504
867	1.021330026
868	1.019476618
869	1.017729071
870	1.017045618
871	1.015135271
872	1.013697789
873	1.011378523
874	1.009977012
875	1.008231665
876	1.006473244
877	1.004890492
878	1.002885203
879	1.002140311
880	1.00171592
881	1.001073214
882	0.9990200399
883	0.9976155008
884	0.9963207417
885	0.9960646163
886	0.9947171651
887	0.9934457392
888	0.9919059619
889	0.9901629525
890	0.9889862603
891	0.9870892313
892	0.9854677138
893	0.9840833906
894	0.9829671466
895	0.9821944334
896	0.980642503
897	0.9790197566
898	0.9778840174
899	0.9763192917
900	0.9752739118
901	0.9733803577
902	0.9715917451
903	0.9697795404
904	0.9694440291
905	0.9691400445
906	0.9683540488
907	0.9664836962
908	0.9653601448
909	0.9635388907
910	0.9620409686
911	0.9611963396
912	0.9598542645
913	0.9595183886
914	0.9585730924
915	0.9576386058
916	0.956479939
917	0.9553917878
918	0.9536999522
919	0.9523520715
920	0.9502619958
921	0.9487522968
922	0.9472038777
923	0.9463966071
924	0.9445943469
925	0.9425817235
926	0.941836741
927	0.9414893795
928	0.9408230625
929	0.9391550458
930	0.9374405154
931	0.9371285371
932	0.935745616
933	0.9345533532
934	0.9337375791
935	0.9325134055
936	0.9312177628
937	0.930714418
938	0.9291144364
939	0.9275614921
940	0.9259007117
941	0.9247462854
942	0.9226967173
943	0.9211851974
944	0.920853097
945	0.9191282063
946	0.9188230411
947	0.9185763386
948	0.9173855699
949	0.9157880218
950	0.9147153953
951	0.9134446599
952	0.9128015017
953	0.9109957503
954	0.9099706371
955	0.9092321851
956	0.9075247331
957	0.9063748626
958	0.9050609065
959	0.9047317129
960	0.9030761594
961	0.9017359702
962	0.9006119669
963	0.8990921729
964	0.8974896306
965	0.8967020509
966	0.8952783861
967	0.8941018038
968	0.892947983
969	0.8917119726
970	0.8908615666
971	0.8895896772
972	0.8891911817
973	0.8882088617
974	0.8876724985
975	0.8863225937
976	0.884464771
977	0.8831771868
978	0.8823742436
979	0.8812150796
980	0.8800917277
981	0.8797383339
982	0.8786170651
983	0.8778021299
984	0.877454105
985	0.8760912963
986	0.8749625549
987	0.873611
988	0.8730153064
989	0.8715912482
990	0.8699492338
991	0.8696728061
992	0.8694222547
993	0.8681443298
994	0.8672374672
995	0.8655087259
996	0.8642091229
997	0.8626243524
998	0.862066247
999	0.8608402836
